,locality,latitude,longitude,Pincode,Latitude,Longitude
1175,"Nehru Nagar, Pimpri Colony, Pimpri-Chinchwad, Maha",18.6326695,73.8220565,411018.0,18.6325,73.82083
1176,"Kherki Daula, Sector 84, Gurugram, Haryana, India",28.4021855,76.9836323,122004.0,28.41344,76.99181
1177,Mini Secretariat,28.4486023,77.0287396,123001.0,28.44861,77.02931
1178,"Dhanas, Chandigarh, India",30.7688416,76.7540559,160014.0,30.75769,76.76861
1179,Alpha I,28.4743207,77.508911,121014.0,28.4726,77.4848
1180,"Raja Annamalai Puram, Chennai, Tamil Nadu, India",13.0189785,80.2628823,600028.0,13.02458,80.26062
1181,"Muniveerappa Layout, Shampura, Kaval Bairasandra, ",13.0285303,77.6138738,560045.0,13.03258,77.62081
1182,"Shenoy Nagar, Chennai, Tamil Nadu, India",13.0747607,80.2265083,600030.0,13.0835,80.23017
1183,"Kalewadi Phata Flyover, Gajanan Nagar, Park Street",18.602374,73.7784341,415521.0,18.6216,73.7622
1184,"Tuptni Vasti, Hadapsar, Pune, Maharashtra, India",18.5196132,73.95031,271312.0,18.5324,73.94407
1185,Nangal Dewat,28.5254846,77.1384496,110070.0,28.52,77.15
1186,"Azad Nagar, Andheri West, Mumbai, Maharashtra, Ind",19.1292452,72.836039,400058.0,19.12742,72.83356
1187,"DadaMastan Layout, Manayata Tech Park, Nagavara, B",13.0452783,77.6184912,560045.0,13.03258,77.62081
1188,"Vepagunta, Visakhapatnam, Andhra Pradesh, India",17.7759818,83.2164644,530029.0,17.76408,83.21794
1189,"The Furniture Store - HBR LAYOUT, 5th Block, Telec",13.0335639,77.6296158,560045.0,13.03258,77.62081
1190,"Manek Chowk, Sarvodaya Nagar, Ghatlodiya, Ahmedaba",23.0622204,72.5339012,380061.0,23.06872,72.54314
1191,"Phi IV, Greater Noida, Uttar Pradesh, India",28.4414472,77.5261129,201312.0,28.45221,77.52516
1192,"Kunhari, Electricity Board Area, Kota, Rajasthan, ",25.2053227,75.8359645,324008.0,25.22,75.83
1193,"Kamothe, Panvel, Navi Mumbai, Maharashtra, India",19.0166223,73.0966019,410209.0,19.016,73.096
1194,"Badangpet, Telangana, India",17.3052765,78.5253226,500112.0,17.3051,78.5254
1195,"J P Nagar Metro Station, Kanakapura Road, Gangadha",12.9075563,77.573061,577526.0,12.90044,77.57122
1196,"Chhani Jakatnaka, Vadodara, Gujarat, India",22.3460099,73.1653736,390024.0,22.3415,73.17869
1197,Raj Nagar Part 2,28.5802219,77.0861569,110077.0,28.57481,77.07872
1198,"Kokar, Ranchi, Jharkhand, India",23.377207,85.3599657,834001.0,23.37644,85.35411
1199,"Haridwar Road, Birla Ghat, Haridwar, Uttarakhand, ",29.9473491,78.166081,247671.0,29.9457,78.1642
1200,"Ramdev Park, Bhayandar East, Mira Bhayandar, Mahar",19.2976532,72.8685327,401105.0,19.30964,72.85497
1201,"CSKM Public School, Ansal Villas, Satbari, New Del",28.4736173,77.2064046,110068.0,28.50122,77.20031
1202,"Vijay Nagar, Indore, Madhya Pradesh, India",22.7532848,75.8936962,452010.0,22.76031,75.88633
1203,"RANGOLI GARDEN, Block E, Vaishali Nagar, Jaipur, R",26.9098703,75.7452115,302021.0,26.91167,75.74
1204,"Jankipuram, Lucknow, Uttar Pradesh, India",26.9210215,80.9511835,226021.0,26.91053,80.95394
1205,Sector 85 Gurugram,28.40418,76.9513432,122505.0,28.43847,76.93544
1206,"Hoshangabad Road, Surendra Palace, Narayan Nagar, ",23.199778,77.4475368,462020.0,23.2,77.45
1207,"Aliganj, Lucknow, Uttar Pradesh, India",26.904054,80.9452724,226021.0,26.90626,80.94848
1208,"Devi Mandap, Adalhatu Colony, Morabadi, Ranchi, Jh",23.4103413,85.3331264,834008.0,23.39836,85.33119
1209,Mayur Vihar Phase III,28.6095544,77.3302981,110096.0,28.60864,77.33642
1210,Shalimar Garden,28.689047,77.335314,110095.0,28.68917,77.3285
1211,"Dwaraka Nagar, Visakhapatnam, Andhra Pradesh, Indi",17.7294167,83.3092679,530016.0,17.72953,83.30894
1212,"Secunderabad Railway Station, Station Road, Regime",17.4345194,78.5011751,500025.0,17.43956,78.51053
1213,"Shakti Nagar, Delhi",28.6800116,77.1976346,110007.0,28.68087,77.201
1214,"Hoskote Toll Plaza, Bengaluru, Karnataka, India",13.0594304,77.7707416,562114.0,13.07397,77.78606
1215,"Harmukh Puri, Modinagar, Uttar Pradesh, India",28.8494298,77.5882319,201204.0,28.8383,77.58106
1216,Jaunapur,28.4670968,77.1525034,110047.0,28.46,77.15
1217,"Sector 26, Gurgaon",28.4778496,77.1053673,122002.0,28.46609,77.10583
1218,"Kharadi, Pune, Maharashtra, India",18.5538241,73.9476689,411036.0,18.53453,73.94829
1219,"Sector 90, Gurugram, Haryana, India",28.4085198,76.9369384,122505.0,28.42159,76.91426
1220,"Eldeco Saubhagyam, Vrindavan Colony, Lucknow, Utta",26.7686575,80.9598206,226002.0,26.78137,80.95847
1221,"Hudco Place, Andrews Ganj",28.5617576,77.2254266,110049.0,28.55719,77.22267
1222,Vijay Nagar,28.6445141,77.4257319,201001.0,28.6556,77.4277
1223,"Barra, Kanpur, Uttar Pradesh, India",26.4279706,80.2962385,208027.0,26.4253,80.30414
1224,Vasundhara Enclave,28.5990303,77.3159296,335021.0,28.59301,77.31987
1225,"Maulviganj, Lucknow, Uttar Pradesh, India",26.8519467,80.9236933,226018.0,26.85073,80.92535
1226,"Attapur, Hyderabad, Telangana, India",17.3698887,78.4304712,500008.0,17.37586,78.42025
1227,"Swinagar Society, Nehru Nagar, Ambawadi, Ahmedabad",23.0171862,72.5319209,343001.0,23.02411,72.53211
1228,"New Azad Nagar, Yashoda Nagar, Kanpur, Uttar Prade",26.3992299,80.3481251,208002.0,26.41467,80.35069
1229,"AMRI Hospitals Bhubaneswar, Near Jayadev Vatika Pa",20.2601001,85.7775154,751030.0,20.26248,85.78205
1230,"Periya Lake, Chromepet, Chennai, Tamil Nadu 600044",12.9457604,80.1550692,603108.0,12.93715,80.15191
1231,Omicron 3,28.47413,77.553344,201310.0,28.47952,77.57206
1232,"Viram Khand-2, Gomti Nagar, Lucknow, Uttar Pradesh",26.8490289,81.0009715,226010.0,26.8562,81.00478
1233,"Ab Road, Indore, Madhya Pradesh, India",22.6465637,75.818713,452013.0,22.66936,75.8135
1234,"Sector 53, Gurgaon",28.4396185,77.0971527,122006.0,28.42272,77.10314
1235,Vishwakarma Colony,28.4583361,76.9995868,122001.0,28.45717,77.01397
1236,"Lal Bangla, Kanpur, Uttar Pradesh, India",26.4268059,80.3867417,208007.0,26.43069,80.38389
1237,"Kalachowki, Abhyudaya Nagar, Parel, Mumbai, Mahara",18.9901964,72.8430551,400026.0,18.98697,72.84219
1238,"Nandgram, Ghaziabad, Uttar Pradesh, India",28.6903339,77.4078908,201003.0,28.68292,77.41406
1239,Chiranjeev Vihar,28.6688935,77.4716313,202123.0,28.66765,77.46876
1240,"Alkapuri, Habib Ganj, Bhopal, Madhya Pradesh, Indi",23.2135895,77.453704,462024.0,23.21,77.4435
1241,"Sector 82, Faridabad, Haryana, India",28.3927662,77.358284,121002.0,28.4043,77.37407
1242,"Basti Guzan, Jalandhar, Punjab, India",31.3258689,75.5502324,144210.0,31.31,75.54
1243,Sector 48,28.5559182,77.3683319,201304.0,28.5622,77.37407
1244,Sector 29,28.5692377,77.3345961,304023.0,28.56831,77.32662
1245,"Doddakannelli, Bengaluru, Karnataka, India",12.9063171,77.6985485,560035.0,12.90751,77.69568
1246,"Brij Vihar, Ghaziabad, Uttar Pradesh, India",28.6705461,77.3367498,201011.0,28.66492,77.33029
1247,"Sonipat Bus Stand, Old Rohtak Road, Railway Quarte",28.9930823,77.0150735,131022.0,28.99269,77.01797
1248,"ASF Colony, Airport Area, Shahganj, Agra, Uttar Pr",27.1699694,77.9588741,282001.0,27.15797,77.96244
1249,"Sector 55, Noida, Uttar Pradesh, India",28.6049178,77.3489877,110096.0,28.60864,77.33642
1250,"Bima Kunj, Mahabali Nagar, Kolar Road, Bhopal, Mad",23.1800205,77.416227,462016.0,23.19367,77.4125
1251,"New Panvel, Panvel, Navi Mumbai, Maharashtra, Indi",19.0015736,73.120208,410206.0,18.99633,73.12314
1252,"Wright Town, Jabalpur, Madhya Pradesh, India",23.1682882,79.9237253,482002.0,23.16394,79.92133
1253,Nangli Sakrawati,28.620305,77.0012882,110043.0,28.62222,77.01183
1254,East Patel Nagar,28.6468151,77.1721199,110008.0,28.64536,77.17297
1255,"Sector 87, Noida, Uttar Pradesh, India",28.5289286,77.4171237,201305.0,28.53921,77.40637
1256,"Mamatha Nagar Colony, Nagole, Hyderabad, Telangana",17.3808986,78.5653754,141113.0,17.39838,78.55827
1257,Sahibabad,28.6653643,77.3493347,201010.0,28.66892,77.35292
1258,"Shyampur, Dehradun, Uttarakhand 248007, India",30.3283924,77.9410251,248007.0,30.34361,77.93674
1259,"Sohna, Haryana, India",28.2486993,77.0635117,122103.0,28.24846,77.0658
1260,"Koramangala, Bengaluru, Karnataka, India",12.9351929,77.6244807,560095.0,12.93845,77.61915
1261,"Sector 19, Chandigarh, India",30.7282196,76.7932238,160019.0,30.72636,76.79619
1262,Panchsheel Enclave,28.54482,77.2283008,110017.0,28.54413,77.22844
1263,Sector 3,28.3520982,77.33538,121006.0,28.35744,77.33364
1264,Ansal Palam Vihar,28.5122653,77.035487,122017.0,28.50723,77.03155
1265,"Palava City by LODHA, Casa Bella Gold, Dombivli, M",19.1682736,73.0738339,421204.0,19.16712,73.07762
1266,"Budh Vihar, Rohini",28.7241789,77.0451673,803114.0,28.7,77.05
1267,"Salunke Vihar, Mohammed Wadi, Pune, Maharashtra, I",18.4799816,73.9043836,440016.0,18.50206,73.9085
1268,"Bakkarwala, Delhi, India",28.6665007,77.0163715,110041.0,28.6665,77.01637
1269,"Kadubeesanahalli, Bengaluru, Karnataka, India",12.9394137,77.6952031,560087.0,12.93557,77.70575
1270,"Park Circus, Ballygunge, Kolkata, West Bengal, Ind",22.5378858,88.368246,700019.0,22.53175,88.36631
1271,Najafgarh,28.6090126,76.9854526,110043.0,28.6123,76.96863
1272,"Brahma Kumaris Bulandshahr Hari Enclave, Chandpur ",28.4013497,77.8409276,203001.0,28.40531,77.84639
1273,"Mumbai Central, Mumbai, Maharashtra, India",18.9690247,72.8205292,400008.0,18.96775,72.82169
1274,Sector 41,28.5639862,77.3625903,201304.0,28.5622,77.37407
1275,"Kashi Nagar, Bhagwan Nagar, Nagpur, Maharashtra, I",21.1079962,79.0895715,440027.0,21.1116,79.09416
1276,"Sector 73, Noida, Uttar Pradesh, India",28.587934,77.3867398,201307.0,28.58493,77.38699
1277,"Aman Nagar, Patiala, Punjab, India",30.3610579,76.4143664,147003.0,30.35692,76.41892
1278,"Peenya Metro Station, Watch Factory Road, Yeshwant",13.0331576,77.5340058,560058.0,13.03456,77.5262
1279,"Anand Nagar, Thane West, Thane, Maharashtra, India",19.2644981,72.9652491,421302.0,19.27154,72.9646
1280,Sector 4,28.5839319,77.3231094,201311.0,28.57668,77.32717
1281,"Jogeshwari West, Mumbai, Maharashtra, India",19.1405116,72.8421555,464331.0,19.14041,72.8333
1282,"Basant Avenue, Basant Enclave, Urban Estate Dugri,",30.8581705,75.8317435,141013.0,30.85936,75.83178
1283,"Manmohan Nagar, Ambala, Haryana, India",30.3960741,76.7783748,134003.0,30.3835,76.77736
1284,"Defence Colony, Lohia Nagar, Patna, Bihar, India",25.5910626,85.1463159,800001.0,25.59122,85.14464
1285,"Sector 168, Noida, Uttar Pradesh, India",28.4936741,77.4085149,201304.0,28.49421,77.41425
1286,Old Rajinder Nagar,28.6404268,77.1858995,148028.0,28.6409,77.18547
1287,"Brahmpuri, Meerut, Uttar Pradesh, India",28.9713112,77.6959977,250002.0,28.97508,77.69794
1288,Sehatpur,28.4814102,77.3238274,201312.0,28.4809,77.32598
1289,Anandvas Shakurpur,28.6886521,77.1454952,110034.0,28.68997,77.14667
1290,Satyawati Nagar,28.6883683,77.1851807,110052.0,28.69308,77.18231
1291,"Jarimari, Saki Naka, Mumbai, Maharashtra, India",19.0918606,72.8825928,400070.0,19.08258,72.88223
1292,"Sri Lakshmi Residency, Sai Ram Nagar, Jaya Prakash",17.5066652,78.3545153,500090.0,17.51764,78.3825
1293,"Narain Nagar, Goal Bagh, Amritsar, Punjab, India",31.631036,74.8689879,143022.0,31.63,74.87
1294,"Bareilly, Uttar Pradesh, India",28.3670355,79.4304381,262203.0,28.36704,79.43044
1295,"Bhopura, Ghaziabad, Uttar Pradesh, India",28.7006197,77.3288529,201006.0,28.70062,77.32885
1296,Jawahar Nagar,26.8892814,75.8360422,303905.0,26.88646,75.83412
1297,"Jagrati Vihar, Meerut, Uttar Pradesh 250004, India",28.9542352,77.7486847,250004.0,28.9605,77.7529
1298,"Aziz Nagar, Telangana, India",17.3500835,78.3467676,500086.0,17.34881,78.37689
1299,Chandni Chowk,28.6505942,77.2303284,110006.0,28.65022,77.23228
1300,"Cherlapalli, Secunderabad, Telangana, India",17.4695033,78.5968268,679583.0,17.48704,78.60276
1301,"15-177, Akkipette Main Rd, Manivartapete, Sultanpe",12.9690351,77.57151,560053.0,12.96889,77.57309
1302,"Nilothi, Chander Vihar",28.6499708,77.0624888,110041.0,28.65118,77.05933
1303,"Abiramapuram, Chennai, Tamil Nadu, India",13.0311142,80.2579194,600028.0,13.02458,80.26062
1304,Dlf Qutub Enclave,28.4705178,77.1023597,122002.0,28.46609,77.10583
1305,Sector 36,28.4599521,77.5399356,201312.0,28.45221,77.52516
1306,Shyam Nagar,26.8886042,75.7628264,453441.0,26.88895,75.76206
1307,"Muchipara, Behala Mauza, Maheshtala, West Bengal, ",22.4879032,88.2880815,700061.0,22.48588,88.29126
1308,Sector 22,28.3654185,77.296542,121005.0,28.36961,77.28664
1309,Arya Pura Subzi Mandi  110007,28.6686117,77.2071021,110007.0,28.66894,77.20611
1310,"Gurudev Chauraha, Khyora, Kanpur, Uttar Pradesh",26.4911152,80.2855382,208024.0,26.49469,80.28539
1311,"Keshav Nagar 2, Lucknow, Uttar Pradesh, India",26.9027037,80.9209292,226020.0,26.89225,80.93492
1312,"Kanpur, Uttar Pradesh, India",26.449923,80.3318736,481116.0,26.44992,80.33187
1313,"Kannamangala, Bengaluru, Karnataka 560067, India",13.027138,77.760812,562114.0,13.03,77.79
1314,Firozshah Kotla,28.63792,77.243203,202001.0,28.64119,77.24058
1315,Lajpat Nagar,28.5676955,77.2432721,110024.0,28.57406,77.24231
1316,"Ghansoli Gaon, Ghansoli, Navi Mumbai, Maharashtra,",19.126661,72.9977252,400701.0,19.12439,72.99761
1317,"Hitkari upbhokta bhandar, Modinagar, Uttar Pradesh",28.8286623,77.5693633,201204.0,28.8331,77.57112
1318,"Bangla Bazar, Lucknow, Uttar Pradesh, India",26.7954364,80.9276861,226104.0,26.79578,80.92371
1319,"Vijayaraghavapuram, K. K. Nagar, Chennai, Tamil Na",13.0446027,80.2002754,600078.0,13.04339,80.20642
1320,"Shastri Nagar, Jodhpur, Rajasthan, India",26.2626317,73.0046071,342003.0,26.27172,73.00364
1321,"New Alipore, Kolkata, West Bengal, India",22.5090392,88.3329427,700053.0,22.50972,88.33381
1322,"Ashwamegh Nagar, Tandalja, Vadodara, Gujarat, Indi",22.2906271,73.1452867,391101.0,22.31,73.14
1323,"Sultanpuri, Indira Park, Mangolpuri, Delhi",28.693399,77.072968,110086.0,28.69636,77.07642
1324,"Khodiyar Nagar, Ranip, Ahmedabad, Gujarat, India",23.0837213,72.574458,382480.0,23.07967,72.57236
1325,"Pimple Saudagar, Pimpri-Chinchwad, Maharashtra, In",18.5986763,73.7978348,411027.0,18.57806,73.80233
1326,"Sher E Punjab Colony, Andheri East, Mumbai, Mahara",19.1255855,72.8618716,400093.0,19.12114,72.87122
1327,Fateh Nagar,28.6303737,77.10057,110018.0,28.63331,77.09969
1328,"Tandalja, Vadodara, Gujarat, India",22.2880741,73.1527175,390007.0,22.29958,73.16656
1329,"Kurla West, Mumbai, Maharashtra, India",19.0707532,72.8781322,400070.0,19.06818,72.87784
1330,"Surat - Kamrej Highway, Adarsh Society, Ram Nagar,",21.2166428,72.8651865,395006.0,21.21458,72.85292
1331,"Chipiyana Buzurg, Ghaziabad, Uttar Pradesh, India",28.6252841,77.4501182,201009.0,28.62528,77.45012
1332,"Acharya Puri, Sector 12",28.4683785,77.0107449,122001.0,28.46626,77.01731
1333,Sector 32,28.4562642,77.3136084,121003.0,28.45136,77.30794
1334,"Triveni Nagar, Lucknow, Uttar Pradesh, India",26.8881989,80.9256603,226020.0,26.89225,80.93492
1335,sector 2,28.3470366,77.3331231,121006.0,28.35744,77.33364
1336,"Shastri Nagar, New Delhi, Delhi, India",28.6746196,77.1801757,110052.0,28.67264,77.18111
1337,"Wazirabad, New Delhi, Delhi, India",28.7336221,77.2190228,110084.0,28.72224,77.22182
1338,"Wadala West, Wadala, Mumbai, Maharashtra, India",19.0164103,72.855261,400085.0,19.01753,72.85619
1339,Teliwara,28.6614155,77.2142885,110006.0,28.65942,77.21306
1340,"Kidwaipuri, Patna, Bihar, India",25.6143326,85.124597,800001.0,25.61433,85.1246
1341,Madhopura,28.662215,77.4156889,201009.0,28.66174,77.41788
1342,Jawahar Park,28.5077961,77.2311749,110080.0,28.5,77.23
1343,"Sector 23, Gurgaon",28.5110641,77.0630248,122005.0,28.50561,77.07106
1344,Sat Nagar,28.647464,77.1837597,110005.0,28.64883,77.18211
1345,"Dombivli East, Dombivli, Maharashtra, India",19.2057161,73.0955302,421203.0,19.21489,73.10589
1346,"Poonam Nagar, Jogeshwari East, Mumbai, Maharashtra",19.137309,72.8677942,400065.0,19.14425,72.856
1347,Jwala Puri,28.6781308,77.078751,110087.0,28.68003,77.07875
1348,"Banjarawala, Dehradun, Uttarakhand, India",30.2787642,78.0338078,480997.0,30.27425,78.0388
1349,"Narayanwadi, Atladara, Vadodara, Gujarat, India",22.2745554,73.1570876,390007.0,22.29958,73.16656
1350,Siddhartha Extension,28.5806974,77.2586336,110014.0,28.58,77.26
1351,"Sadar Bazar, Jalandhar Cantt, Jalandhar, Punjab, I",31.2928904,75.6250562,144022.0,31.3003,75.63043
1352,"Nalasopara West, Nala Sopara, Maharashtra, India",19.4183419,72.7955971,401203.0,19.41764,72.79892
1353,"BT Road, Dunlop, Narendra Nagar, Beehive Garden, B",22.654927,88.377213,700108.0,22.65222,88.37458
1354,Sector 110,28.5322238,77.3834021,201008.0,28.53352,77.39103
1355,"Lalghati, Bhopal, Madhya Pradesh, India",23.2770017,77.3641726,462030.0,23.27,77.37
1356,"Bhondsi, Haryana, India",28.3509552,77.0614833,122102.0,28.35217,77.06471
1357,"Aneppa Circle, Akshaya Nagar 2nd Block, Akshya Nag",13.0206356,77.6842578,560016.0,13.01408,77.68275
1358,"Begambad, Modinagar, Uttar Pradesh, India",28.8363439,77.5683899,201204.0,28.83603,77.56832
1359,"Jarauli Phase 2, Jarauli, Kanpur, Uttar Pradesh, I",26.4183001,80.2959404,208027.0,26.4253,80.30414
1360,"Madhura Nagar, Hyderabad, Telangana, India",17.4388159,78.434546,500045.0,17.43806,78.4275
1361,"Kalyanpur, Lucknow, Uttar Pradesh, India",26.9019127,80.9664761,226022.0,26.8978,80.97059
1362,"Sector 89, Gurugram, Haryana, India",28.4253428,76.9438927,122505.0,28.43847,76.93544
1363,"Ranjit Nagar, Patiala, Punjab, India",30.3730661,76.3715818,147203.0,30.36,76.37
1364,Bisrakh,28.5662834,77.4329048,201306.0,28.53177,77.43423
1365,"Ravet, Pimpri-Chinchwad, Maharashtra, India",18.6606495,73.7321585,412101.0,18.66116,73.72866
1366,"8th Phase JP Nagar, JP Nagar, Kothnur, Karnataka 5",12.8741077,77.5791729,560076.0,12.88349,77.58309
1367,"Banashankari III Stage, Banashankari, Bengaluru, K",12.9345271,77.5435215,560085.0,12.93195,77.54189
1368,"Kamal Nagar, Muzaffarnagar, Uttar Pradesh, India",29.4585916,77.7216008,250110.0,29.46402,77.72067
1369,"Khan Kot, Amritsar, Punjab, India",31.6273953,74.9486422,143501.0,31.63,74.94
1370,"Sector 35, Chandigarh",30.7261629,76.7596221,160022.0,30.72478,76.75922
1371,"Rohini, Sector 17",28.7408388,77.1125599,110085.0,28.73545,77.11748
1372,"Maruti Kunj, Haryana, India",28.3596902,77.0799219,122102.0,28.35217,77.06471
1373,"Khora Colony, Sector 62A, Noida, Uttar Pradesh, In",28.6155722,77.3467996,110096.0,28.60864,77.33642
1374,"Marathahalli Bridge, Outer Ring Road, Marathahalli",12.9569472,77.7015352,560037.0,12.95886,77.71603
1375,"Ambala, Ambala, Haryana, India",30.3781788,76.7766974,134201.0,30.37818,76.7767
1376,"Sector 15, Sonipat, Haryana, India",29.0000048,77.0406147,131409.0,28.98944,77.02528
1377,Gujjar ki Thadi Underpass,26.8804754,75.7670169,322241.0,26.87876,75.7714
1378,"Madhav Nagar, Saharanpur, Uttar Pradesh, India",29.9918269,77.5662406,247001.0,30.00762,77.56673
1379,"Kalwar, Rajasthan, India",26.9594335,75.6586295,455332.0,26.95943,75.65863
1380,"Subhanpura Garden Road, Subhanpura, Vadodara, Guja",22.3200707,73.1563737,390023.0,22.32136,73.154
1381,"Arjun Nagar, Agra, Uttar Pradesh, India",27.168389,77.9824303,282008.0,27.16015,77.98241
1382,"Kanjurmarg Station Road, Ambedkar Nagar, Kanjurmar",19.1304799,72.9299924,400078.0,19.13253,72.92467
1383,New Ashok Nagar,28.5891405,77.3018829,201302.0,28.5787,77.3134
1384,"IMT Manesar, Sector 1, Gurugram, Haryana, India",28.366322,76.9455815,122051.0,28.34425,76.94384
1385,"St Thomas Town, Cooke Town, Bengaluru, Karnataka, ",13.0045121,77.621393,560005.0,13.00072,77.61614
1386,"Raja Garden Colony, Basti Bawa Khel, Jalandhar, Pu",31.3317485,75.5465935,464221.0,31.33668,75.53032
1387,"Mira Road Station, Sector 11, Naya Nagar, Mira Roa",19.28192,72.858335,401107.0,19.27908,72.85672
1388,"Defence Colony, South Delhi",28.5726334,77.23251,133010.0,28.57263,77.23251
1389,"Santacruz East, Mumbai, Maharashtra, India",19.07937,72.8562596,400098.0,19.07997,72.8545
1390,"Rajendra Nagar, Patna, Bihar, India",25.6068056,85.1651556,803213.0,25.61,85.16
1391,"Civil Lines, Prayagraj, Uttar Pradesh, India",25.4529334,81.8348882,211003.0,25.4514,81.833
1392,"Govandi East, Mumbai, Maharashtra, India",19.0535444,72.9239095,400043.0,19.05319,72.92539
1393,"Kanwar Avenue, Amritsar, Punjab, India",31.5994282,74.9303763,143501.0,31.6,74.94
1394,"Manikonda, Hyderabad, Telangana 500008, India",17.4023796,78.3728538,500104.0,17.41564,78.37059
1395,"Ajmera, Ajmera Housing Society, Pimpri Colony, Pim",18.633212,73.81253,411018.0,18.63356,73.81319
1396,"G.S.V.M. Medical College, Kanpur, India",26.4809221,80.3075665,208002.0,26.48419,80.30889
1397,"Viram Khand 1, Gomti Nagar, Lucknow, Uttar Pradesh",26.8516574,81.0019557,226010.0,26.8562,81.00478
1398,Tagore Garden,28.648876,77.1096829,110027.0,28.64672,77.11247
1399,"Sector 66, Noida, Uttar Pradesh, India",28.6055049,77.3769437,201307.0,28.58493,77.38699
1400,"Chirag Dilli, New Delhi, Delhi, India",28.5376318,77.2282863,110017.0,28.54413,77.22844
1401,"Mission Compound, Saharanpur, Uttar Pradesh, India",29.9548639,77.5440288,247001.0,29.95493,77.54402
1402,"Ghumar Mandi, Ludhiana, Punjab, India",30.9028233,75.8305169,141001.0,30.90003,75.83494
1403,"Vaishnodevi Circle, Ahmedabad, Gujarat, India",23.1362385,72.5423,382481.0,23.12,72.54
1404,"Sector 33, Gurgaon",28.4388158,77.02766,123001.0,28.44861,77.02931
1405,"Suraj Kund, Devi Nagar, Meerut, Uttar Pradesh, Ind",28.9770744,77.7148038,341503.0,28.976,77.71014
1406,"C.B.D Belapur Railway Station (East), Sakal Bhavan",19.019265,73.0393998,400614.0,19.02161,73.04014
1407,"Rawatpur Gaon, Kanpur, Uttar Pradesh, India",26.4765351,80.2737747,208017.0,26.47356,80.27395
1408,"Anandapur, East Kolkata Township, Kolkata, West Be",22.5148386,88.4097881,700107.0,22.51286,88.40497
1409,"Vineet Khand 2, Lucknow, Uttar Pradesh, India",26.8509272,81.0127503,226010.0,26.8562,81.00478
1410,"Sector 3, Bidhannagar, Kolkata, West Bengal, India",22.5733423,88.4137279,743332.0,22.5831,88.41644
1411,"Mysore Palace, Sayyaji Rao Road, Agrahara, Chamraj",12.305163,76.6551749,570004.0,12.30228,76.65364
1412,"Husadia, Vishesh Khand 1, Lucknow, Uttar Pradesh, ",26.8515758,81.0079067,226010.0,26.8562,81.00478
1413,Dayal Pur,28.72037,77.271705,110090.0,28.72594,77.27264
1414,"Passi Nagar, Ludhiana, Punjab, India",30.8717866,75.8199843,141013.0,30.87273,75.81541
1415,"Bijwasan, New Delhi, Delhi, India",28.5349468,77.0557525,110061.0,28.54,77.05
1416,"VIP Colony, IRC Village, Nayapalli, Bhubaneswar, O",20.2949012,85.801897,751015.0,20.29233,85.80839
1417,Swarn Jayanti Puram,28.6931805,77.4859711,201013.0,28.68378,77.48542
1418,Madipur,28.6721246,77.1204713,110063.0,28.67358,77.12261
1419,"Colony New 515, New Tippasandra, Bengaluru, Karnat",12.9736532,77.6482432,560008.0,12.96849,77.64257
1420,Rohini Sector 25,28.735214,77.0957486,110042.0,28.7414,77.0947
1421,"Bhawanipur, Kolkata, West Bengal, India",22.5332356,88.3459362,854336.0,22.53324,88.34594
1422,"Manyata Residency, Manayata Tech Park, Thanisandra",13.0540547,77.6228252,560064.0,13.06314,77.62068
1423,"Srinagar Park Road, Raghavendra Block, Kalappa Blo",12.9445971,77.553824,560050.0,12.94452,77.55585
1424,Dwarka Sector 22,28.5607215,77.0597175,110077.0,28.57153,77.073
1425,"Paras Nagar, Bhagat Colony, Kandivali, Mumbai, Mah",19.1989726,72.840101,400067.0,19.204,72.85
1426,"Government ITI, near parihar chowk, Aundh, Pune 41",18.5590622,73.8136625,411067.0,18.5634,73.81289
1427,"Ghodasar, Ahmedabad, Gujarat, India",22.9744181,72.6177652,380008.0,22.99128,72.61444
1428,"CG Road, Swastik Society, Gulbai Tekra, Ahmedabad,",23.0383257,72.5623483,466115.0,23.03624,72.56247
1429,Paprawat,28.5803203,76.9787076,110043.0,28.58032,76.9782
1430,"Saeeda Colony Road, Saeeda Colony, Mahmoodpura, Au",19.9178729,75.3363618,431008.0,19.92175,75.3363
1431,"Worli, Mumbai, Maharashtra, India",18.9872015,72.8290456,400011.0,18.98811,72.83189
1432,Sector 35,28.4698733,77.3080313,121003.0,28.45136,77.30794
1433,"Aarey Colony, Goregaon, Mumbai, Maharashtra, India",19.1509655,72.8831294,400065.0,19.15375,72.87794
1434,"Dwarka Sector 2, New Delhi, Delhi, India",28.5991332,77.069398,110077.0,28.58794,77.07228
1435,"Shrinagar, Raipur, Chhattisgarh, India",21.2699445,81.6281681,492009.0,21.26619,81.62225
1436,"Vijayant Khand, Gomti Nagar, Lucknow, Uttar Prades",26.8686058,81.0216341,226016.0,26.875,81.01167
1437,"Subhanpura Park, Hari Nagar, Vadodara, Gujarat, In",22.3204008,73.1554281,390023.0,22.32136,73.154
1438,"Ansal Town Meerut, Ansal City, Modipuram, Meerut, ",29.0483169,77.7029644,250001.0,29.04,77.7
1439,Anand Niketan,28.5789383,77.1650527,110021.0,28.57872,77.16489
1440,"Sarvodaya Nagar, Mulund West, Mumbai, Maharashtra,",19.1641019,72.9453184,400080.0,19.17203,72.94486
1441,Sector 56,28.6022574,77.3424926,110096.0,28.60864,77.33642
